headline,url
Ukraine feels betrayed by Donald Trump: ‘What has happened is a stab in the back’,https://english.elpais.com/international/2025-02-21/ukraine-feels-betrayed-by-donald-trump-what-has-happened-is-a-stab-in-the-back.html
Mexico tightens the noose around Los Chapitos,https://english.elpais.com/international/2025-02-21/mexico-tightens-the-noose-around-los-chapitos.html
Milei soaks up CPAC stage with Elon Musk and a chainsaw,https://english.elpais.com/international/2025-02-21/milei-soaks-up-cpac-stage-with-elon-musk-and-a-chainsaw.html
"Baden-Württember, southern Germany’s wealthy state where family businesses ward off economic crisis",https://english.elpais.com/international/2025-02-21/baden-wurttember-southern-germanys-wealthy-state-where-family-businesses-ward-off-economic-crisis.html
The brain self-cleanses during sleep,https://english.elpais.com/science-tech/2025-02-21/the-brain-self-cleanses-during-sleep.html
Trump puts NASA on pause as Musk’s DOGE prepares to slash costs,https://english.elpais.com/usa/2025-02-21/trump-puts-nasa-on-pause-as-musks-doge-prepares-to-slash-costs.html
Trump shakes up the United States in a vertiginous first month in office,https://english.elpais.com/usa/2025-02-20/trump-shakes-up-the-united-states-in-a-vertiginous-first-month-in-office.html
Chilean gang charged in US for burglaries targeting star athletes,https://english.elpais.com/usa/2025-02-20/chilean-gang-charged-in-us-for-burglaries-targeting-star-athletes.html
,https://english.elpais.com
,https://english.elpais.com
Spanish researchers discover the trick AI uses to get such good grades: ‘It’s true kryptonite for the models’,https://english.elpais.com/technology/2025-02-20/spanish-researchers-discover-the-trick-ai-uses-to-get-such-good-grades-its-true-kryptonite-for-the-models.html
Patrick Dempsey: ‘Dyslexia was a lesson in humility that saved me from the temptation to believe I was better than anyone else’,https://english.elpais.com/culture/2025-02-19/patrick-dempsey-dyslexia-was-a-lesson-in-humility-that-saved-me-from-the-temptation-to-believe-i-was-better-than-anyone-else.html
Underground fights and female thieves: New series from the creator of ‘Peaky Blinders’ delves into London’s underworld,https://english.elpais.com/culture/2025-02-20/underground-fights-and-female-thieves-new-series-from-the-creator-of-peaky-blinders-delves-into-londons-underworld.html
Dispute between auction house and heirs leaves future of 12 previously unreleased Michael Jackson tracks unclear,https://english.elpais.com/culture/2025-02-19/dispute-between-auction-house-and-heirs-leaves-future-of-12-previously-unreleased-michael-jackson-tracks-unclear.html
,https://english.elpais.com
Life expectancy in Europe is no longer growing as it used to,https://english.elpais.com/health/2025-02-19/life-expectancy-in-europe-is-no-longer-growing-as-it-used-to.html
Timeline of a tech feud: Sam Altman and Elon Musk’s 10-year rivalry,https://english.elpais.com/technology/2025-02-12/timeline-of-a-tech-feud-sam-altman-and-elon-musks-10-year-rivalry.html
Too many capybaras: Rodents face vasectomies in luxury Argentine community,https://english.elpais.com/international/2025-02-14/too-many-capybaras-rodents-face-vasectomies-in-luxury-argentine-community.html
"Massive methane leaks detected in Antarctica, posing potential risks for global warming",https://english.elpais.com/climate/2025-02-12/massive-methane-leaks-detected-in-antarctica-posing-potential-risks-for-global-warming.html
,https://english.elpais.com
A coffee for $3.50: Argentina is the most expensive country in Latin America,https://english.elpais.com/economy-and-business/2025-02-11/a-coffee-for-350-argentina-is-the-most-expensive-country-in-latin-america.html
,https://english.elpais.com
"Trump’s ‘drill, baby, drill’ meets reality: The US cannot extract much more oil if the price keeps falling",https://english.elpais.com/economy-and-business/2025-02-08/trumps-drill-baby-drill-meets-reality-the-us-cannot-extract-much-more-oil-if-the-price-keeps-falling.html
,https://english.elpais.com
,https://english.elpais.com
The SS nursery: Novelist recreates the Nazi maternity wards ,https://english.elpais.com
,https://english.elpais.com
"Ai Weiwei: ‘In the art world, everyone talks about money. It’s poisonous’",https://english.elpais.com/culture/2025-02-15/ai-weiwei-in-the-art-world-everyone-talks-about-money-its-poisonous-youre-only-worth-as-much-as-your-work.html
,https://english.elpais.com
,https://english.elpais.com
,https://english.elpais.com
,https://english.elpais.com
"Traveling the world, a luxury that has surprisingly little to do with money",https://english.elpais.com/lifestyle/2025-02-09/traveling-the-world-a-luxury-that-has-surprisingly-little-to-do-with-money.html
"Noah Centineo, the actor who went from the internet’s boyfriend to near-oblivion  ",https://english.elpais.com/people/2025-02-08/noah-centineo-the-actor-who-went-from-the-internets-boyfriend-to-near-oblivion.html
"Jacques Audiard, director of ‘Emilia Pérez’, distances himself from Karla Sofía Gascón: ‘What she said is inexcusable’",https://english.elpais.com/culture/2025-02-05/jacques-audiard-director-of-emilia-perez-distances-himself-from-karla-sofia-gascon-what-she-said-is-inexcusable.html
"The second youth of Lindsey Buckingham, Fleetwood Mac’s sonic architect",https://english.elpais.com/culture/2025-02-15/the-second-youth-of-lindsey-buckingham-fleetwood-macs-sonic-architect.html
News of a stagnant war in Sinaloa,https://english.elpais.com/international/2025-02-17/news-of-a-stagnant-war-in-sinaloa.html
,https://english.elpais.com
,https://english.elpais.com
,https://english.elpais.com
Listen now LOS40 USA,https://los40.us/
Peso Pluma on ‘Bully’? All the Details on Kanye West’s New Album,https://los40.us/2025/peso-pluma-on-bully-all-the-details-on-kanye-wests-new-album-29862.html
Where to Watch the 2025 Premio Lo Nuestro,https://los40.us/2025/where-to-watch-the-2025-premio-lo-nuestro-29894.html
EL PAÍS offers free Spanish lessons with Gymglish,https://english.elpais.com
‘A legal black box’: Trump uses treatment reserved for terrorists on migrants sent to Guantánamo,https://english.elpais.com/international/2025-02-13/a-legal-black-box-trump-uses-treatment-reserved-for-terrorists-on-migrants-sent-to-guantanamo.html
"Migrants in Chicago after Trump raids: ‘We will continue working, but we are afraid’",https://english.elpais.com/usa/2025-02-03/migrants-in-chicago-after-trump-raids-we-will-continue-working-but-we-are-afraid.html
,https://english.elpais.com
,https://english.elpais.com
‘What I need the most are AK-47s’: How the United States floods Mexico with weapons  ,https://english.elpais.com/international/2025-02-12/what-i-need-the-most-are-ak-47s-how-the-united-states-floods-mexico-with-weapons.html
Venezuela kicks off its most uncertain presidential campaign,https://english.elpais.com
,https://english.elpais.com
An economic paradox: When savings are both a good and a bad idea,https://english.elpais.com/economy-and-business/2025-01-30/colombia-seeks-a-way-to-break-its-commercial-dependence-on-the-united-states.html
"Jaime Maussan, a journalist from another planet: ‘Put me in a debate with any scientist, I’ll tear them to pieces’   ",https://english.elpais.com/culture/2025-02-02/jaime-maussan-a-journalist-from-another-planet-put-me-in-a-debate-with-any-scientist-ill-tear-them-to-pieces.html
Art collides with science in Los Angeles,https://english.elpais.com/culture/2025-02-10/art-collides-with-science-in-los-angeles.html
The Puerto Rican crested toad: The shy star of Bad Bunny’s new album and a symbol of resistance,https://english.elpais.com/science-tech/2025-02-01/the-puerto-rican-crested-toad-the-shy-star-of-bad-bunnys-new-album-and-a-symbol-of-resistance.html
"Ramón Bataller, hepatologist: ‘The combination of alcohol and cocaine is explosive and many young people are paying for it’",https://english.elpais.com/health/2025-02-08/ramon-bataller-hepatologist-the-combination-of-alcohol-and-cocaine-is-explosive-and-many-young-people-are-paying-for-it.html
The best Irish wine is made by a Spanish couple,https://english.elpais.com/lifestyle/2025-01-29/the-best-irish-wine-is-made-by-a-spanish-couple.html
My therapist is a bot: The rise of AI in mental health treatment,https://english.elpais.com/technology/2025-01-21/my-therapist-is-a-bot-the-rise-of-ai-in-mental-health-treatment.html
,https://english.elpais.com
"Climbing without a rope, between freedom and psychopathy",https://english.elpais.com
